SMILES
CCC(C)C1C(=O)N2CCCCC2C(=NC(CCCCCC(=O)C(CO)O)C(=NC(CC3=CC=CC=C3)C(=N1)O)O)O
CC(=O)OCC1=C[C@@H]([C@@H]2C(=CO[C@H]([C@H]12)O[C@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)C(=O)OC)O
C1=C(C=C(C(=C1)O)O)[C@@H]2CC(=O)C3=C(C=C(C=C3O)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O4)O)O)O)O2
OC1CCCCC1N2CCC(C=3C=CC=CC3)CC2
C/C=C(/C)\C(=O)OC1C(=C)CC(=O)C2C(C)(CC3C(C(=C)C(=O)O3)C1O)O2
CCOC(=O)C1=C(C)N(C)C2=C1C=C(C=C2)O
C=C(C)C1C(C2=C(C=CC3=C2OC(=O)C=C3)OC)O1
C=C[C@@]12C[C@@H]([C@@H](C(=C)C(=O)OC)[C@@H]([C@H]2C(=C)C(=O)OC1)O)O
CC(=O)C1=CC=C(C(=C1O)C(CC(C(=O)O)OC)OC2C(C(C(C(CO)O2)O)O)O)O
COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)O
CC(C)CC(=NCCN1C=C(C(=O)C=C1C(C2=CC=CC=C2)O)C(=O)O)O
N=1C=CC=2C=3C=CC=CC3NC2C1CC
CCCCCCCCCCCC(=O)O[C@H]1[C@@H]([C@@H](COC(=O)C)O[C@H]([C@H]1OC(=O)CCCCC)OC[C@@H]([C@@H](CO)O)O)OC(=O)C
CCCCC/C=C(\[C@H](C)C(=O)O)/C(=O)O
CC1=CC(=CC(=C1)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O
C=CC1=C(C)C2=CC3=NC(=CC4=C(C)C(=C(C=C5C(=C(C)C(=N5)C=C1N2)CCC(=O)O)N4)CCC(=O)OC)[C@@]6(C)C3=CC=C([C@H]6C(=O)OC)C(=O)OC
CC(C)CC(=O)OC1C(=C)COC1C2=C(C=CC3=C2OC(=O)C=C3)OC
N1CCCCC1C23CN4CCCCC4C(CC5CCCNC52)C3
CN1[C@H]2CC[C@@H]1CC(C2)C(=O)OC(CO)C3=CC=CC=C3
